zincid,smiles,consensus_score
ZINC000745004662,Cn1cc(-c2ncc(C(=O)OCc3ccccc3OCC(F)(F)F)s2)cn1,0.505820309318084
ZINC000767745812,COc1cc(S(=O)(=O)N2CCC3(CCCCC3)CC2)cnc1Cl,0.498548034457946
ZINC000510877589,O=C(CNS(=O)(=O)c1ccc(Cl)s1)Nc1ccccc1-n1ccnc1,0.5330504754883738
ZINC000553534920,N#Cc1c(Br)cccc1S(=O)(=O)NCCCc1cccs1,0.5191139652651681
ZINC000459401858,Oc1cccc(CN[C@@H](c2ccc(F)cc2)[C@H]2CCCO2)c1Br,0.5625655699585566
ZINC000278972788,O=C(NC[C@H]1CSCCS1)c1c(F)ccc(Br)c1F,0.5220942950044719
ZINC000834873581,Cc1csc2ncc(-c3nc(C[C@@]4(C)CC4(Cl)Cl)no3)c(=O)n12,0.5020771574063265
ZINC000554512926,O=C(NCC1=CCCOC1)NCC1(c2ccc(Br)cc2)CCC1,0.5687597090039076
ZINC000170043711,COc1ccc(CNC(=O)c2cnn(-c3ccccc3C)c2)cc1C(=O)O,0.5641394204709439
ZINC000654906512,O=C(c1ccccc1NCc1ccccc1)N1CC[C@H](OCCN2CCCC2)C1,0.5983329197529887
ZINC001344491258,O=C(NCc1cc(OCC(F)F)ccn1)N[C@H]1C[C@H](c2ccccc2F)C1,0.5142310488266153
ZINC000778017716,C[C@H](Oc1ccc(Cl)cc1[N+](=O)[O-])C(=O)O[C@H]([C@H]1CCOC1)C(F)(F)F,0.5546277633484582
ZINC000507833732,CN(Cc1c(F)cccc1Cl)C(=O)CN1CCO[C@@H](c2ccccc2Cl)C1,0.5191407960863555
ZINC000608486870,C[C@H]1CCN(C(=O)COCc2nc3ccccc3s2)[C@H](c2ccco2)C1,0.5552461417441813
ZINC000753494258,O=C(CCc1ccoc1)O[C@H]1CCCN(c2ccc(OC(F)F)cc2)C1=O,0.6105392246064134
ZINC000933318204,O=C(CNC1(c2ncc(Br)cn2)CCC1)Nc1ccc(Cl)cc1,0.5037625550472739
ZINC000372039055,O=C(Cc1ccc(O)cc1Cl)N1CCC(c2nnc3n2CCC3)CC1,0.5800966812450258
ZINC000458308493,Cc1cc(O[C@H](C)C(=O)N2CC[C@@H](O)[C@H](C3CCCC3)C2)ccc1Cl,0.5648331905998856
ZINC000420514070,COCCC1(c2noc(Cc3cc(Br)ccc3F)n2)CCC1,0.5778836199120728
ZINC000494623019,CN1C[C@@H](NCc2cnn(Cc3ccc(C(F)(F)F)cc3)c2)CCC1=O,0.4353531920159037
ZINC000437653897,O=C(N[C@H]1C[C@H](c2cc(F)cc(F)c2)C1)N[C@@H]1CCc2cc(F)ccc21,0.5864377026585725
ZINC000685394002,CC[C@](C)(NC(=O)c1ccccc1)c1noc(-c2occ3c2CCC3)n1,0.6489244878257395
ZINC000815601691,CC(C)[C@@H](CCc1ccccc1)C(=O)NCCS(=O)(=O)C(C)(C)C,0.5503013277095838
ZINC000801902314,COc1cnc2ccccc2c1C(=O)OCCOCC(F)(F)C(F)F,0.4730253155157674
ZINC001306159520,CCc1nnc(N2CC[C@@H]3CCCC[C@H]3C2)n1CCOCC(F)(F)C(F)F,0.5118120997797204
ZINC000879443778,Cc1ccc(-c2cccnc2)cc1NC(=O)NC[C@H]1CC(C(F)(F)F)=NO1,0.6134618317106374
ZINC001468192189,O=C(NCCc1ccc([N+](=O)[O-])cc1)N[C@H]1C[C@H](c2ccc(F)cc2F)C1,0.4811057059764971
ZINC000809807433,CCCCN(C1CC1)S(=O)(=O)c1cc(Cl)c([N+](=O)[O-])cc1F,0.4728431526909622
ZINC000276681248,CC(=O)Nc1cc(O[C@@H](C)[C@H](C)O)c(Br)cc1Br,0.4292744029250601
ZINC000626218578,O=C(CCCc1ccc2c(c1)OCCCO2)Nc1ccn(CC(F)(F)F)n1,0.5752311573210793
ZINC000793286401,Cc1nnsc1CNC(=S)NCCc1ccc(Cl)cc1Cl,0.4526416031767287
ZINC000376573715,Cc1nccnc1N1CCN(C(=O)c2c(F)ccc(Br)c2F)CC1,0.5838057469037605
ZINC000458118890,O=C(COc1cccc(NC(=O)C2CC2)c1)N1Cc2cccc(F)c2C1,0.6034409467120831
ZINC000364207541,C[C@@H](c1nc(-c2cccnc2)no1)N1CCC(c2nnc3n2CCC3)CC1,0.5509676081361531
ZINC000537678800,C[C@H]1CN(C(=O)NCCSCC(F)(F)F)C[C@H](c2ccccc2)O1,0.4862894529979324
ZINC000150766747,COc1cc(CN2CC[C@H](NC(=O)c3ccc(Cl)cc3)C2)cc(OC)c1,0.3648936936923409
ZINC000571369119,O=C(N=c1nc2cc(Cl)ccn2[nH]1)N[C@H](c1ccco1)c1ccccc1,0.5515990298576764
ZINC000140154258,Cc1ccccc1C(=O)N1CCN(Cc2cccc(C(F)(F)F)c2)CC1,0.5238255425095226
ZINC000457114395,COc1ccc(Br)c(CC(=O)N2CC[C@H](CCCO)C2)c1,0.4980037382915778
ZINC000825254098,C[C@@H](NC(=O)O)[C@@H]1CCCN(C(=O)c2cncc(-c3ccccc3)c2)C1,0.6418155138731059
ZINC001175101714,COC(=O)c1nc(Br)cnc1Nc1ccc(F)cc1C(F)(F)F,0.4913415243846151
ZINC000263208716,O=C(O)C[C@@H]1CSCCN1C(=O)Cc1cc(F)ccc1Br,0.5140683111090583
ZINC001027882956,Cc1ccsc1[C@@H]1C[C@H]1C(=O)NC[C@@H]1CCCN1Cc1ccccn1,0.5831182266079594
ZINC000428036712,Cc1noc(-c2ccccc2C(=O)Nc2ccc3c(c2)N(C(N)=O)CC3)n1,0.588581958100413
ZINC000272892544,CCCOCCOC(=O)c1ccnc(N2CCC(CCCO)CC2)c1,0.5353569182888612
ZINC000779879469,Cc1cnc(C(=O)Nc2cccc(S(=O)(=O)Nc3ccccc3)c2)c(C)c1,0.6338026733314284
ZINC000559170883,CN(C)S(=O)(=O)c1cccc(CN2CCc3c2cc(F)cc3F)c1,0.5532199895056992
ZINC001437020071,CC(C)(C(=O)OCc1cc(Cl)ccc1I)c1ccc2c(c1)OCO2,0.6013056298432994
ZINC000436721736,CO[C@@H](C)CCNC(=O)[C@@H]1CCCN1C(=O)c1ccc2ccccc2c1O,0.5668446957246293
ZINC000120455600,C[C@@H](NC[C@@H](O)c1ccc(Cl)cc1)c1ccc(N2CCOC2=O)cc1,0.5479091599415734
ZINC001208808848,FC[C@@H]1CCCN(CCc2c(Br)ccnc2Br)C1,0.4723194128550384
ZINC000010307920,O=C(CCc1nc(-c2ccncc2)no1)Nc1ccc(-c2nccs2)cc1,0.5928194657247463
